nodes_total,edges_total,n_components,largest_cc_frac,in_lcc,present_sites,diameter,avg_shortest_path,avg_cluster_coeff,aarnet_nodes,aarnet_edges,aarnet_n_components,aarnet_largest_cc_frac,aarnet_in_lcc,aarnet_present_sites,aarnet_diameter,aarnet_avg_shortest_path,aarnet_avg_cluster_coeff,abb_nodes,abb_edges,abb_n_components,abb_largest_cc_frac,abb_in_lcc,abb_present_sites,abb_diameter,abb_avg_shortest_path,abb_avg_cluster_coeff,optus_nodes,optus_edges,optus_n_components,optus_largest_cc_frac,optus_in_lcc,optus_present_sites,optus_diameter,optus_avg_shortest_path,optus_avg_cluster_coeff,superloop_nodes,superloop_edges,superloop_n_components,superloop_largest_cc_frac,superloop_in_lcc,superloop_present_sites,superloop_diameter,superloop_avg_shortest_path,superloop_avg_cluster_coeff,telstra_nodes,telstra_edges,telstra_n_components,telstra_largest_cc_frac,telstra_in_lcc,telstra_present_sites,telstra_diameter,telstra_avg_shortest_path,telstra_avg_cluster_coeff,vocus_nodes,vocus_edges,vocus_n_components,vocus_largest_cc_frac,vocus_in_lcc,vocus_present_sites,vocus_diameter,vocus_avg_shortest_path,vocus_avg_cluster_coeff,scenario,srg_id_1,srg_id_2,edges_removed,edges_removed_1,edges_removed_2
67,165,1,1.0,13,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1', 'PHE_1', 'TSV_1', 'ROK_1', 'ISA_1']",8.0,3.58887381275441,0.27562189054726366,11,22,1,1.0,11,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'TSV_1', 'ROK_1', 'ISA_1']",5.0,2.309090909090909,0.2727272727272727,9,18,1,1.0,9,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1']",3.0,1.8611111111111112,0.6407407407407407,12,22,1,1.0,12,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1', 'PHE_1', 'TSV_1', 'ROK_1']",5.0,2.606060606060606,0.3055555555555555,8,20,1,1.0,8,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1']",3.0,1.7142857142857142,0.39166666666666666,8,18,1,1.0,8,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1']",3.0,1.75,0.29166666666666663,11,25,1,1.0,11,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'PHE_1', 'TSV_1', 'ISA_1']",4.0,2.090909090909091,0.5181818181818182,double removal,ADL_SMAP_SUB_1,TSV_ROK_TER_2,6.0,4.0,2.0
67,163,1,1.0,13,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1', 'PHE_1', 'TSV_1', 'ROK_1', 'ISA_1']",8.0,3.622795115332429,0.22338308457711442,11,22,1,1.0,11,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'TSV_1', 'ROK_1', 'ISA_1']",5.0,2.309090909090909,0.2727272727272727,9,18,1,1.0,9,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1']",3.0,1.8611111111111112,0.6407407407407407,12,22,1,1.0,12,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1', 'PHE_1', 'TSV_1', 'ROK_1']",5.0,2.621212121212121,0.1111111111111111,8,20,1,1.0,8,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1']",3.0,1.7142857142857142,0.39166666666666666,8,17,1,1.0,8,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1']",3.0,1.8571428571428572,0.375,11,24,1,1.0,11,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'PHE_1', 'TSV_1', 'ISA_1']",5.0,2.1818181818181817,0.36666666666666664,double removal,ADL_SMAP_SUB_1,TSV_ROK_TER_1,8.0,4.0,4.0
67,164,1,1.0,13,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1', 'PHE_1', 'TSV_1', 'ROK_1', 'ISA_1']",8.0,3.6187245590230663,0.23084577114427862,11,22,1,1.0,11,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'TSV_1', 'ROK_1', 'ISA_1']",5.0,2.3636363636363638,0.1212121212121212,9,18,1,1.0,9,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1']",3.0,1.8611111111111112,0.6407407407407407,12,23,1,1.0,12,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1', 'PHE_1', 'TSV_1', 'ROK_1']",5.0,2.606060606060606,0.3055555555555555,8,20,1,1.0,8,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1']",3.0,1.7142857142857142,0.39166666666666666,8,17,1,1.0,8,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1']",3.0,1.8571428571428572,0.375,11,24,1,1.0,11,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'PHE_1', 'TSV_1', 'ISA_1']",4.0,2.1818181818181817,0.36666666666666664,double removal,ADL_SMAP_SUB_1,TSV_HGD_TER_1,7.0,4.0,3.0
67,164,1,1.0,13,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1', 'PHE_1', 'TSV_1', 'ROK_1', 'ISA_1']",9.0,3.733152419719584,0.2009950248756219,11,21,1,1.0,11,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'TSV_1', 'ROK_1', 'ISA_1']",5.0,2.418181818181818,0.1212121212121212,9,20,1,1.0,9,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1']",3.0,1.8611111111111112,0.6407407407407407,12,22,1,1.0,12,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1', 'PHE_1', 'TSV_1', 'ROK_1']",6.0,2.757575757575758,0.1111111111111111,8,19,1,1.0,8,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1']",3.0,1.7857142857142858,0.475,8,19,1,1.0,8,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1']",3.0,1.8571428571428572,0.375,11,23,1,1.0,11,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'PHE_1', 'TSV_1', 'ISA_1']",6.0,2.4909090909090907,0.36666666666666664,double removal,BNE_ROK_TER_1,ROK_LRE_TER_1,7.0,4.0,3.0
67,166,1,1.0,13,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1', 'PHE_1', 'TSV_1', 'ROK_1', 'ISA_1']",8.0,3.6517412935323383,0.22338308457711442,11,22,1,1.0,11,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'TSV_1', 'ROK_1', 'ISA_1']",5.0,2.309090909090909,0.2727272727272727,9,20,1,1.0,9,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1']",3.0,1.8611111111111112,0.6407407407407407,12,22,1,1.0,12,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1', 'PHE_1', 'TSV_1', 'ROK_1']",6.0,2.757575757575758,0.1111111111111111,8,20,1,1.0,8,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1']",3.0,1.7142857142857142,0.39166666666666666,8,19,1,1.0,8,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1']",3.0,1.8571428571428572,0.375,11,23,1,1.0,11,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'PHE_1', 'TSV_1', 'ISA_1']",5.0,2.1818181818181817,0.36666666666666664,double removal,BNE_ROK_TER_1,PER_PHE_TER_3,5.0,4.0,1.0
67,166,1,1.0,13,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1', 'PHE_1', 'TSV_1', 'ROK_1', 'ISA_1']",8.0,3.6517412935323383,0.22338308457711442,11,22,1,1.0,11,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'TSV_1', 'ROK_1', 'ISA_1']",5.0,2.309090909090909,0.2727272727272727,9,20,1,1.0,9,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1']",3.0,1.8611111111111112,0.6407407407407407,12,21,1,1.0,12,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1', 'PHE_1', 'TSV_1', 'ROK_1']",6.0,2.757575757575758,0.1111111111111111,8,20,1,1.0,8,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1']",3.0,1.7142857142857142,0.39166666666666666,8,19,1,1.0,8,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1']",3.0,1.8571428571428572,0.375,11,24,1,1.0,11,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'PHE_1', 'TSV_1', 'ISA_1']",5.0,2.1818181818181817,0.36666666666666664,double removal,BNE_ROK_TER_1,PER_PHE_TER_2,5.0,4.0,1.0
67,163,1,1.0,13,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1', 'PHE_1', 'TSV_1', 'ROK_1', 'ISA_1']",8.0,3.6693803708729082,0.19303482587064677,11,22,1,1.0,11,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'TSV_1', 'ROK_1', 'ISA_1']",5.0,2.309090909090909,0.2727272727272727,9,19,1,1.0,9,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1']",3.0,1.8888888888888888,0.5481481481481482,12,21,1,1.0,12,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1', 'PHE_1', 'TSV_1', 'ROK_1']",6.0,2.757575757575758,0.1111111111111111,8,19,1,1.0,8,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1']",3.0,1.75,0.37083333333333335,8,18,1,1.0,8,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1']",4.0,1.9642857142857142,0.16666666666666666,11,24,1,1.0,11,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'PHE_1', 'TSV_1', 'ISA_1']",5.0,2.1818181818181817,0.36666666666666664,double removal,BNE_ROK_TER_1,PER_PHE_TER_1,8.0,4.0,4.0
67,166,1,1.0,13,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1', 'PHE_1', 'TSV_1', 'ROK_1', 'ISA_1']",8.0,3.6517412935323383,0.22338308457711442,11,22,1,1.0,11,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'TSV_1', 'ROK_1', 'ISA_1']",5.0,2.309090909090909,0.2727272727272727,9,20,1,1.0,9,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1']",3.0,1.8611111111111112,0.6407407407407407,12,22,1,1.0,12,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1', 'PHE_1', 'TSV_1', 'ROK_1']",6.0,2.757575757575758,0.1111111111111111,8,20,1,1.0,8,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1']",3.0,1.7142857142857142,0.39166666666666666,8,19,1,1.0,8,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1']",3.0,1.8571428571428572,0.375,11,23,1,1.0,11,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'PHE_1', 'TSV_1', 'ISA_1']",5.0,2.1818181818181817,0.36666666666666664,double removal,BNE_ROK_TER_1,PER_PHE_SUB_1,5.0,4.0,1.0
67,166,1,1.0,13,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1', 'PHE_1', 'TSV_1', 'ROK_1', 'ISA_1']",8.0,3.6625961103573044,0.2009950248756219,11,22,1,1.0,11,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'TSV_1', 'ROK_1', 'ISA_1']",5.0,2.309090909090909,0.2727272727272727,9,20,1,1.0,9,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1']",3.0,1.8611111111111112,0.6407407407407407,12,22,1,1.0,12,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1', 'PHE_1', 'TSV_1', 'ROK_1']",6.0,2.757575757575758,0.1111111111111111,8,20,1,1.0,8,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1']",3.0,1.7142857142857142,0.39166666666666666,8,19,1,1.0,8,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1']",3.0,1.8571428571428572,0.375,11,23,1,1.0,11,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'PHE_1', 'TSV_1', 'ISA_1']",5.0,2.2363636363636363,0.2,double removal,BNE_ROK_TER_1,PER_DRW_SUB_1,5.0,4.0,1.0
67,162,1,1.0,13,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1', 'PHE_1', 'TSV_1', 'ROK_1', 'ISA_1']",8.0,3.6517412935323383,0.22338308457711442,11,21,1,1.0,11,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'TSV_1', 'ROK_1', 'ISA_1']",5.0,2.309090909090909,0.2727272727272727,9,20,1,1.0,9,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1']",3.0,1.8611111111111112,0.6407407407407407,12,21,1,1.0,12,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1', 'PHE_1', 'TSV_1', 'ROK_1']",6.0,2.757575757575758,0.1111111111111111,8,19,1,1.0,8,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1']",3.0,1.7142857142857142,0.39166666666666666,8,18,1,1.0,8,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1']",3.0,1.8571428571428572,0.375,11,23,1,1.0,11,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'PHE_1', 'TSV_1', 'ISA_1']",5.0,2.1818181818181817,0.36666666666666664,double removal,BNE_ROK_TER_1,PER_ADL_TER_2,9.0,4.0,5.0
67,161,1,1.0,13,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1', 'PHE_1', 'TSV_1', 'ROK_1', 'ISA_1']",8.0,3.6517412935323383,0.22338308457711442,11,21,1,1.0,11,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'TSV_1', 'ROK_1', 'ISA_1']",5.0,2.309090909090909,0.2727272727272727,9,19,1,1.0,9,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1']",3.0,1.8611111111111112,0.6407407407407407,12,21,1,1.0,12,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1', 'PHE_1', 'TSV_1', 'ROK_1']",6.0,2.757575757575758,0.1111111111111111,8,19,1,1.0,8,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1']",3.0,1.7142857142857142,0.39166666666666666,8,18,1,1.0,8,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1']",3.0,1.8571428571428572,0.375,11,23,1,1.0,11,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'PHE_1', 'TSV_1', 'ISA_1']",5.0,2.1818181818181817,0.36666666666666664,double removal,BNE_ROK_TER_1,PER_ADL_TER_1,10.0,4.0,6.0
67,165,1,1.0,13,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1', 'PHE_1', 'TSV_1', 'ROK_1', 'ISA_1']",8.0,3.6517412935323383,0.22338308457711442,11,22,1,1.0,11,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'TSV_1', 'ROK_1', 'ISA_1']",5.0,2.309090909090909,0.2727272727272727,9,19,1,1.0,9,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1']",3.0,1.8611111111111112,0.6407407407407407,12,22,1,1.0,12,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1', 'PHE_1', 'TSV_1', 'ROK_1']",6.0,2.757575757575758,0.1111111111111111,8,20,1,1.0,8,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1']",3.0,1.7142857142857142,0.39166666666666666,8,18,1,1.0,8,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1']",3.0,1.8571428571428572,0.375,11,24,1,1.0,11,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'PHE_1', 'TSV_1', 'ISA_1']",5.0,2.1818181818181817,0.36666666666666664,double removal,BNE_ROK_TER_1,PER_ADL_SUB_1,6.0,4.0,2.0
67,166,1,1.0,13,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1', 'PHE_1', 'TSV_1', 'ROK_1', 'ISA_1']",8.0,3.6517412935323383,0.22338308457711442,11,21,1,1.0,11,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'TSV_1', 'ROK_1', 'ISA_1']",5.0,2.309090909090909,0.2727272727272727,9,20,1,1.0,9,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1']",3.0,1.8611111111111112,0.6407407407407407,12,22,1,1.0,12,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1', 'PHE_1', 'TSV_1', 'ROK_1']",6.0,2.757575757575758,0.1111111111111111,8,20,1,1.0,8,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1']",3.0,1.7142857142857142,0.39166666666666666,8,19,1,1.0,8,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1']",3.0,1.8571428571428572,0.375,11,24,1,1.0,11,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'PHE_1', 'TSV_1', 'ISA_1']",5.0,2.1818181818181817,0.36666666666666664,double removal,BNE_ROK_TER_1,MEL_LST_SUB_3,5.0,4.0,1.0
67,161,1,1.0,13,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1', 'PHE_1', 'TSV_1', 'ROK_1', 'ISA_1']",9.0,3.7376752600633196,0.1945273631840796,11,21,1,1.0,11,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'TSV_1', 'ROK_1', 'ISA_1']",5.0,2.309090909090909,0.2727272727272727,9,19,1,1.0,9,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1']",4.0,2.0555555555555554,0.4222222222222222,12,21,1,1.0,12,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1', 'PHE_1', 'TSV_1', 'ROK_1']",6.0,2.757575757575758,0.1111111111111111,8,19,1,1.0,8,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1']",3.0,1.7142857142857142,0.39166666666666666,8,18,1,1.0,8,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1']",3.0,1.8571428571428572,0.375,11,23,2,0.9090909090909091,10,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'MEL_1', 'PER_1', 'SYD_1', 'PHE_1', 'TSV_1', 'ISA_1']",inf,inf,0.37878787878787884,double removal,BNE_ROK_TER_1,MEL_LST_SUB_2,10.0,4.0,6.0
67,163,1,1.0,13,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1', 'PHE_1', 'TSV_1', 'ROK_1', 'ISA_1']",8.0,3.6811397557666212,0.1935323383084577,11,22,1,1.0,11,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'TSV_1', 'ROK_1', 'ISA_1']",5.0,2.309090909090909,0.2727272727272727,9,19,1,1.0,9,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1']",4.0,2.0555555555555554,0.4222222222222222,12,21,1,1.0,12,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'LST_1', 'PHE_1', 'TSV_1', 'ROK_1']",6.0,2.757575757575758,0.1111111111111111,8,19,1,1.0,8,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1']",3.0,1.7142857142857142,0.39166666666666666,8,18,1,1.0,8,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1']",3.0,1.8571428571428572,0.375,11,24,1,1.0,11,"['ADL_1', 'BNE_1', 'CBR_1', 'DRW_1', 'HBA_1', 'MEL_1', 'PER_1', 'SYD_1', 'PHE_1', 'TSV_1', 'ISA_1']",5.0,2.1818181818181817,0.36666666666666664,double removal,BNE_ROK_TER_1,MEL_LST_SUB_1,8.0,4.0,4.0
